iter	TotalF1	MultiClass
342	0.961865985	0.1062909386
343	0.9618855453	0.1062528923
344	0.9619044486	0.1062181538
345	0.9619094843	0.1061798352
346	0.961923693	0.1061463313
347	0.961921056	0.1061133986
348	0.9619405298	0.106078755
349	0.9619539393	0.1060379962
350	0.9619588911	0.1059974846
351	0.9619756216	0.105974091
352	0.9619915627	0.1059318305
353	0.9620238994	0.1058700575
354	0.9620297669	0.1058235148
355	0.9620462386	0.1057651336
356	0.9620707759	0.1056987604
357	0.9620814441	0.1056557053
358	0.9621061346	0.1055638529
359	0.9621031616	0.1055157078
360	0.9621003851	0.1054758257
361	0.962113148	0.1054292407
362	0.9621250249	0.1053733646
363	0.9621418718	0.1053174111
364	0.9621609044	0.1052734187
365	0.9621875089	0.1052383723
366	0.9622040024	0.1051933534
367	0.962250656	0.1051335047
368	0.9622535665	0.1051003661
369	0.9623163724	0.1050002492
370	0.9623520297	0.1049170014
371	0.9623874002	0.1048779514
372	0.9623679217	0.1048333659
373	0.9623676887	0.1047986869
374	0.9623931016	0.1047608423
375	0.9624005365	0.1047077632
376	0.9624310641	0.1046568674
377	0.9624553762	0.1046055525
378	0.962460942	0.1045694099
379	0.9624929173	0.1044950538
380	0.9625200421	0.1044407873
381	0.9625488938	0.1043822673
382	0.9625518195	0.1043523702
383	0.962554775	0.1043155437
384	0.9625658327	0.1042874854
385	0.9625902462	0.1042095275
386	0.962631163	0.1041489966
387	0.9626449611	0.1041097298
388	0.9626857482	0.1040336359
389	0.9627183779	0.1039779995
390	0.9627046953	0.1039444957
391	0.9627291947	0.1039170207
392	0.9627726576	0.1038792826
393	0.9627779855	0.103848821
394	0.9628048507	0.1038208444
395	0.9627833661	0.1037935933
396	0.9628084673	0.1037366043
397	0.9628381126	0.103702832
398	0.9628513216	0.1036790219
399	0.9628461063	0.1036337257
400	0.9628516323	0.1036046481
401	0.9628619821	0.1035756226
402	0.9628763533	0.1035343835
403	0.9628979348	0.1034993843
404	0.9629540529	0.10342213
405	0.9629517707	0.1033686915
406	0.9629676639	0.1033310266
407	0.9629972087	0.1032826618
408	0.9630192064	0.1032163367
409	0.9630357085	0.1031726348
